name,score,genres,type,episodes,premiered,producers,licensors,studios,source,rating,popularity,favorites
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,R - 17+ (violence & profanity),39,61971
Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,unknown,"Sunrise, Bandai Visual",Sony Pictures Entertainment,Bones,Original,R - 17+ (violence & profanity),518,1174
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,Spring 1998,Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,PG-13 - Teens 13 or older,201,12944
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,Summer 2002,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment","Funimation, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,1467,587
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,Fall 2004,"TV Tokyo, Dentsu",unknown,Toei Animation,Manga,PG - Children,4369,18
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,Spring 2005,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha","VIZ Media, Sentai Filmworks",Gallop,Manga,PG-13 - Teens 13 or older,1003,2066
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,Spring 2005,"Genco, Fuji TV, Shueisha","VIZ Media, Discotek Media",J.C.Staff,Manga,PG-13 - Teens 13 or older,687,4101
Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52,Fall 2002,unknown,unknown,Nippon Animation,Manga,PG-13 - Teens 13 or older,3612,231
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,Spring 2004,"OB Planning, Studio Jack",Funimation,A.C.G.T.,Manga,PG-13 - Teens 13 or older,1233,979
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,Spring 2004,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,R+ - Mild Nudity,169,29436
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,Fall 2002,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Studio Pierrot,Manga,PG-13 - Teens 13 or older,8,65586
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,0,Fall 1999,"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,Manga,PG-13 - Teens 13 or older,31,126645
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,Fall 2001,"Production I.G, Nihon Ad Systems",VIZ Media,Trans Arts,Manga,PG-13 - Teens 13 or older,1039,3124
Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12,Fall 2004,unknown,unknown,Toei Animation,Manga,PG - Children,7333,16
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,Fall 2004,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,PG-13 - Teens 13 or older,514,5137
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,Fall 2004,"GDH, Pony Canyon, CBC",Funimation,Gonzo,Manga,R - 17+ (violence & profanity),1284,790
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,Spring 2003,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,R+ - Mild Nudity,823,3671
Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,Spring 2005,unknown,Funimation,Gonzo,Light novel,R - 17+ (violence & profanity),936,1479
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,Fall 2004,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,PG-13 - Teens 13 or older,1666,887
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,Fall 2004,"Marvelous, TBS",Geneon Entertainment USA,Studio Deen,Manga,PG-13 - Teens 13 or older,3985,152
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,Fall 1995,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production",Original,PG-13 - Teens 13 or older,54,71308
Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,unknown,"Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G",Original,R - 17+ (violence & profanity),833,588
Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,unknown,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G",Original,R+ - Mild Nudity,195,17811
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,Fall 1997,"VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post",OLM,Manga,R+ - Mild Nudity,301,18567
Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,unknown,"Bandai Visual, Kodansha",Manga Entertainment,Production I.G,Manga,R+ - Mild Nudity,265,10362
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,unknown,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,R - 17+ (violence & profanity),637,6111
